Transect,Collect_date (dd.mm.yy),distance_from_marsh,distance_from_water (m),num_barnacled,total_num,length,barnacled
IMC,16.07.2021,129,0,NA,0,NA,NA
IMC,16.07.2021,126,3,0,1,24,no
IMC,16.07.2021,123,6,NA,0,NA,NA
IMC,16.07.2021,120,9,NA,0,NA,NA
IMC,16.07.2021,117,12,NA,0,NA,NA
IMC,16.07.2021,114,15,NA,0,NA,NA
IMC,16.07.2021,111,18,NA,0,NA,NA
IMC,16.07.2021,108,21,NA,0,NA,NA
IMC,16.07.2021,105,24,1,1,23,yes
IMC,16.07.2021,102,27,1,3,33,yes
IMC,16.07.2021,102,27,NA,NA,35,no
IMC,16.07.2021,102,27,NA,NA,14,no
IMC,16.07.2021,99,30,0,1,23,no
IMC,16.07.2021,96,33,1,1,25.5,yes
IMC,16.07.2021,93,36,2,3,34,yes
IMC,16.07.2021,93,36,NA,NA,23,yes
IMC,16.07.2021,93,36,NA,NA,33,no
IMC,16.07.2021,90,39,0,2,27,no
IMC,16.07.2021,90,39,NA,NA,25,no
IMC,16.07.2021,87,42,NA,0,NA,NA
IMC,16.07.2021,84,45,2,2,35,yes
IMC,16.07.2021,84,45,NA,NA,34,yes
IMC,16.07.2021,81,48,NA,0,NA,NA
IMC,16.07.2021,78,51,0,1,26,no
IMC,16.07.2021,75,54,1,1,35,yes
IMC,16.07.2021,72,57,0,2,32.5,no
IMC,16.07.2021,72,57,NA,NA,19,no
IMC,16.07.2021,69,60,0,5,17,no
IMC,16.07.2021,69,60,NA,NA,31,no
IMC,16.07.2021,69,60,NA,NA,26,no
IMC,16.07.2021,69,60,NA,NA,17,no
IMC,16.07.2021,69,60,NA,NA,10,no
IMC,16.07.2021,66,63,1,5,30,yes
IMC,16.07.2021,66,63,NA,NA,22.5,no
IMC,16.07.2021,66,63,NA,NA,22,no
IMC,16.07.2021,66,63,NA,NA,20,no
IMC,16.07.2021,66,63,NA,NA,20,no
IMC,16.07.2021,63,66,0,1,20,no
IMC,16.07.2021,60,69,0,2,32,no
IMC,16.07.2021,60,69,NA,NA,18,no
IMC,16.07.2021,57,72,0,6,28.5,no
IMC,16.07.2021,57,72,NA,NA,27,no
IMC,16.07.2021,57,72,NA,NA,24.5,no
IMC,16.07.2021,57,72,NA,NA,30,no
IMC,16.07.2021,57,72,NA,NA,25,no
IMC,16.07.2021,57,72,NA,NA,24,no
IMC,16.07.2021,54,75,0,6,24,no
IMC,16.07.2021,54,75,NA,NA,28.5,no
IMC,16.07.2021,54,75,NA,NA,23,no
IMC,16.07.2021,54,75,NA,NA,15,no
IMC,16.07.2021,54,75,NA,NA,26,no
IMC,16.07.2021,54,75,NA,NA,5,no
IMC,16.07.2021,51,78,0,7,27,no
IMC,16.07.2021,51,78,NA,NA,17,no
IMC,16.07.2021,51,78,NA,NA,15,no
IMC,16.07.2021,51,78,NA,NA,21,no
IMC,16.07.2021,51,78,NA,NA,15,no
IMC,16.07.2021,51,78,NA,NA,7,no
IMC,16.07.2021,51,78,NA,NA,6,no
IMC,16.07.2021,48,81,0,3,17,no
IMC,16.07.2021,48,81,NA,NA,18.5,no
IMC,16.07.2021,48,81,NA,NA,15,no
IMC,16.07.2021,45,84,0,10,24,no
IMC,16.07.2021,45,84,NA,NA,25,no
IMC,16.07.2021,45,84,NA,NA,29,no
IMC,16.07.2021,45,84,NA,NA,23,no
IMC,16.07.2021,45,84,NA,NA,24,no
IMC,16.07.2021,45,84,NA,NA,17,no
IMC,16.07.2021,45,84,NA,NA,16.5,no
IMC,16.07.2021,45,84,NA,NA,19.5,no
IMC,16.07.2021,45,84,NA,NA,13,no
IMC,16.07.2021,45,84,NA,NA,13.5,no
IMC,16.07.2021,42,87,0,5,22,no
IMC,16.07.2021,42,87,NA,NA,22,no
IMC,16.07.2021,42,87,NA,NA,15,no
IMC,16.07.2021,42,87,NA,NA,13,no
IMC,16.07.2021,42,87,NA,NA,17,no
IMC,16.07.2021,39,90,0,4,17,no
IMC,16.07.2021,39,90,NA,NA,20,no
IMC,16.07.2021,39,90,NA,NA,9,no
IMC,16.07.2021,39,90,NA,NA,14,no
IMC,16.07.2021,36,93,2,7,32.5,yes
IMC,16.07.2021,36,93,NA,NA,30,yes
IMC,16.07.2021,36,93,NA,NA,24,no
IMC,16.07.2021,36,93,NA,NA,22,no
IMC,16.07.2021,36,93,NA,NA,16,no
IMC,16.07.2021,36,93,NA,NA,11,no
IMC,16.07.2021,33,96,0,6,32.5,no
IMC,16.07.2021,33,96,NA,NA,24,no
IMC,16.07.2021,33,96,NA,NA,25,no
IMC,16.07.2021,33,96,NA,NA,30,no
IMC,16.07.2021,33,96,NA,NA,25,no
IMC,16.07.2021,33,96,NA,NA,23.5,no
IMC,16.07.2021,30,99,2,6,22,no
IMC,16.07.2021,30,99,NA,NA,29,no
IMC,16.07.2021,30,99,NA,NA,29,no
IMC,16.07.2021,30,99,NA,NA,26,no
IMC,16.07.2021,30,99,NA,NA,25,yes
IMC,16.07.2021,30,99,NA,NA,31,yes
IMC,16.07.2021,27,102,NA,0,NA,NA
IMC,16.07.2021,24,105,0,2,20.5,no
IMC,16.07.2021,24,105,NA,NA,15,no
IMC,16.07.2021,21,108,0,3,23,no
IMC,16.07.2021,21,108,NA,NA,12,no
IMC,16.07.2021,21,108,NA,NA,9,no
IMC,16.07.2021,18,111,1,7,25,yes
IMC,16.07.2021,18,111,NA,NA,26,no
IMC,16.07.2021,18,111,NA,NA,21.5,no
IMC,16.07.2021,18,111,NA,NA,24,no
IMC,16.07.2021,18,111,NA,NA,8,no
IMC,16.07.2021,18,111,NA,NA,10,no
IMC,16.07.2021,15,114,1,7,24,yes
IMC,16.07.2021,15,114,NA,NA,10,no
IMC,16.07.2021,15,114,NA,NA,9.5,no
IMC,16.07.2021,15,114,NA,NA,25,no
IMC,16.07.2021,15,114,NA,NA,22,no
IMC,16.07.2021,15,114,NA,NA,19.5,no
IMC,16.07.2021,15,114,NA,NA,26,no
IMC,16.07.2021,12,117,16,46,23,yes
IMC,16.07.2021,12,117,NA,NA,24,yes
IMC,16.07.2021,12,117,NA,NA,21,no
IMC,16.07.2021,12,117,NA,NA,23,yes
IMC,16.07.2021,12,117,NA,NA,24,yes
IMC,16.07.2021,12,117,NA,NA,21,no
IMC,16.07.2021,12,117,NA,NA,25,no
IMC,16.07.2021,12,117,NA,NA,26,yes
IMC,16.07.2021,12,117,NA,NA,22.5,no
IMC,16.07.2021,12,117,NA,NA,23,no
IMC,16.07.2021,9,120,13,28,24,yes
IMC,16.07.2021,9,120,NA,NA,24.5,no
IMC,16.07.2021,9,120,NA,NA,21,yes
IMC,16.07.2021,9,120,NA,NA,23.5,no
IMC,16.07.2021,9,120,NA,NA,22,yes
IMC,16.07.2021,9,120,NA,NA,25,yes
IMC,16.07.2021,9,120,NA,NA,24,yes
IMC,16.07.2021,9,120,NA,NA,21,no
IMC,16.07.2021,9,120,NA,NA,24.5,yes
IMC,16.07.2021,9,120,NA,NA,22.5,no
IMC,16.07.2021,6,123,20,36,24,no
IMC,16.07.2021,6,123,NA,NA,23,yes
IMC,16.07.2021,6,123,NA,NA,26,yes
IMC,16.07.2021,6,123,NA,NA,23.5,no
IMC,16.07.2021,6,123,NA,NA,25,no
IMC,16.07.2021,6,123,NA,NA,25,yes
IMC,16.07.2021,6,123,NA,NA,23,no
IMC,16.07.2021,6,123,NA,NA,25,yes
IMC,16.07.2021,6,123,NA,NA,21.5,yes
IMC,16.07.2021,6,123,NA,NA,23,yes
IMC,16.07.2021,3,126,4,7,21.5,no
IMC,16.07.2021,3,126,NA,NA,24,no
IMC,16.07.2021,3,126,NA,NA,26,yes
IMC,16.07.2021,3,126,NA,NA,22.5,no
IMC,16.07.2021,3,126,NA,NA,24.5,yes
IMC,16.07.2021,3,126,NA,NA,25,yes
IMC,16.07.2021,3,126,NA,NA,25.5,yes
IMC,16.07.2021,0,129,7,8,27,no
IMC,16.07.2021,0,129,NA,NA,26,yes
IMC,16.07.2021,0,129,NA,NA,24.5,yes
IMC,16.07.2021,0,129,NA,NA,21.5,yes
IMC,16.07.2021,0,129,NA,NA,22,yes
IMC,16.07.2021,0,129,NA,NA,24,yes
IMC,16.07.2021,0,129,NA,NA,20,yes
IMC,16.07.2021,0,129,NA,NA,25,yes
KKIMC,16.07.2021,141,0,NA,0,NA,NA
KKIMC,16.07.2021,138,3,1,2,35,yes
KKIMC,16.07.2021,138,3,NA,NA,30,no
KKIMC,16.07.2021,135,6,0,1,33.5,no
KKIMC,16.07.2021,132,9,NA,0,NA,NA
KKIMC,16.07.2021,129,12,1,3,35.5,no
KKIMC,16.07.2021,129,12,NA,NA,25,no
KKIMC,16.07.2021,129,12,NA,NA,24,yes
KKIMC,16.07.2021,126,15,3,3,20,yes
