Observer,Obs_date (dd.mm.yy),Pond,Snail_ID,Barnacled (yes/no),Start_time (hh.mm),End_time,Distance (cm),Dissect,Length (mm),Width (mm),Apert (mm),Wet_wgt_snail (g),Gonads (yes/no),Trematodes (yes/no),No_barnacles,Wet_weight_barnacles
Kiara,18.06.21,A,A1,yes,10.43,10.48,9.8,IMC,24,10,8,1.37,no,no,1,0.66
Kiara,18.06.21,A,A2,yes,10.43,10.48,6.1,IMC,27,10.5,9.5,1.5,no,no,5,0.16
Kiara,18.06.21,A,A3,no,10.43,10.48,18,KK,25,10,9,1.32,yes,no,0,NA
Kiara,18.06.21,A,A4,no,10.43,10.48,21,KK,24,10,9,1.22,yes,no,0,NA
Kiara,18.06.21,A,A5,no,11.07,11.12,22,KK,27,10,10,1.52,yes,no,0,NA
Kiara,18.06.21,A,A6,no,11.07,11.12,19,KK,21,9,8,1.02,yes,no,0,NA
Kiara,18.06.21,A,A7,yes,11.07,11.12,18,KK,24,10,9,1.24,no,no,8,0.19
Kiara,18.06.21,A,A8,yes,11.07,11.12,5,IMC,26,9,9,1.38,yes,no,11,1.05
Kiara,18.06.21,A,A9,no,11.21,11.26,10,IMC,26,10,8,1.13,yes,no,0,NA
Kiara,18.06.21,A,A10,no,11.21,11.26,26,IMC,25,10.5,9,1.33,no,no,0,NA
Kiara,18.06.21,A,A11,yes,11.21,11.26,29,IMC,26,9.5,9,1.22,yes,no,3,0.08
Kiara,18.06.21,A,A12,yes,11.21,11.26,0,IMC,26.5,10,9,1.28,no,yes,14,1.88
Amanda,18.06.21,B,B1,yes,10.44,10.49,1.6,KK,22,10,9,1.08,no,no,11,0.17
Amanda,18.06.21,B,B2,no,10.44,10.49,1,KK,24,10,8,1.1,no,no,0,NA
Amanda,18.06.21,B,B3,no,10.44,10.49,0.8,KK,25,10,8,1.3,yes,no,0,NA
Amanda,18.06.21,B,B4,yes,10.44,10.49,0.8,KK,27,9,8,1.37,yes,no,5,0.14
Amanda,18.06.21,B,B5,no,11.10,11.15,4.6,KK,23,9,8,0.95,no,no,0,NA
Amanda,18.06.21,B,B6,yes,11.10,11.15,8.6,KK,26,9,9,1.21,yes,no,3,0.03
