observer,date,pond,barnacled,num_recap
Katrina,June,A,yes,6
Katrina,June,A,no,9
Katrina,June,C,yes,3
Katrina,June,C,no,5
Katrina,June,G,yes,5
Katrina,June,G,no,7
Katrina,June,H,yes,7
Katrina,June,H,no,6
Katrina,June,K,yes,4
Katrina,June,K,no,7
Amanda,July,K,yes,2
Amanda,July,K,no,2
Amanda,July,H,yes,2
Amanda,July,H,no,5
Amanda,July,M,yes,6
Amanda,July,M,no,4
Amanda,July,G,yes,2
Amanda,July,G,no,3
Amanda,July,A,yes,3
Amanda,July,A,no,1
Amanda,July,L,yes,0
Amanda,July,L,no,1
Amanda,July,C,yes,6
Amanda,July,C,no,4
Amanda,July,B,yes,2
Amanda,July,B,no,5
